part_ID,complexity_level,message_framing,product_satisfaction
PID_1,low,prevention,2.744312525220504
PID_2,low,promotion,2.007179887656993
PID_3,high,promotion,5.899930782834992
PID_4,high,prevention,3.946111201875974
PID_5,low,promotion,2.495260602215938
PID_6,high,prevention,4.573694852992222
PID_7,low,promotion,4.050226420069914
PID_8,low,prevention,5.128916744040588
PID_9,high,prevention,2.7853576596631657
PID_10,low,prevention,2.126897366790532
PID_11,high,promotion,6.937612656668513
PID_12,low,prevention,0.8150161014791879
PID_13,low,promotion,3.697201312276979
PID_14,high,promotion,7.348004375092444
PID_15,high,promotion,5.415176804942924
PID_16,high,prevention,2.2432363618163045
PID_17,high,prevention,2.4335408699688985
PID_18,low,promotion,2.262043084995154
PID_19,low,promotion,3.23527235723436
PID_20,low,promotion,4.841027307586676
PID_21,high,prevention,2.8742255234156975
PID_22,high,promotion,6.831578812191049
PID_23,high,prevention,4.151162444419185
PID_24,low,promotion,0.15451974502823962
PID_25,high,promotion,7.0222432245305
PID_26,high,promotion,7.124472321796561
PID_27,low,prevention,1.060996774139024
PID_28,high,prevention,3.5526681933552764
PID_29,high,promotion,7.7057951396889575
PID_30,low,promotion,4.05908524124272
PID_31,low,promotion,3.140320120916378
PID_32,high,promotion,6.6499681479560655
PID_33,low,prevention,0.2517197168334451
PID_34,high,promotion,7.820506377172267
PID_35,low,promotion,3.581260864780354
PID_36,high,prevention,5.229349957968454
PID_37,low,promotion,3.3564630364656214
PID_38,high,promotion,6.0333654224225555
PID_39,high,promotion,8.141711612474088
PID_40,low,promotion,4.188879089729543
PID_41,low,promotion,5.156071793210033
PID_42,high,prevention,3.2897861810948736
PID_43,high,prevention,3.3334682629425276
PID_44,low,promotion,2.0585806799909934
PID_45,high,prevention,5.472490013587393
PID_46,low,prevention,2.5517380527944846
PID_47,low,promotion,3.086879821810676
PID_48,low,prevention,0.4921634533081716
PID_49,high,prevention,5.456073628543907
PID_50,high,prevention,3.8293956095898096
PID_51,high,prevention,3.656203045875894
PID_52,low,promotion,1.7524344173991153
PID_53,high,prevention,4.044220591296068
PID_54,high,prevention,2.7126276017018096
PID_55,low,prevention,1.9615598523346371
PID_56,low,prevention,1.5437410568930265
PID_57,high,promotion,7.317610967482104
PID_58,low,promotion,2.254432653832776
PID_59,high,prevention,3.7141769392618427
PID_60,low,promotion,2.4651485180058077
PID_61,low,promotion,2.587871534863704
PID_62,low,prevention,0.1839215627899331
PID_63,high,promotion,7.17155305168693
PID_64,high,promotion,4.969122488587567
PID_65,high,prevention,0.9188013049528609
PID_66,low,promotion,0.6804381509761006
PID_67,low,prevention,1.917566925181867
PID_68,low,promotion,2.135605612111366
PID_69,high,prevention,3.6504335704543185
PID_70,low,promotion,4.51285334440946
PID_71,high,prevention,4.675601455664947
PID_72,high,prevention,1.5990640138533314
PID_73,low,prevention,3.233747673658936
PID_74,low,prevention,2.2480189320997277
PID_75,low,prevention,2.945773824017902
PID_76,low,prevention,1.7423154570733164
PID_77,high,promotion,6.687305995530059
PID_78,low,promotion,3.497395788927181
PID_79,low,prevention,3.0684137804117353
PID_80,high,promotion,8.471545756309961
PID_81,high,prevention,4.028837248805497
PID_82,high,prevention,3.513172615507016
PID_83,low,prevention,1.0979563132485475
PID_84,high,promotion,5.609792153076199
PID_85,low,promotion,2.710141049884707
PID_86,low,promotion,3.3793038511281033
PID_87,high,prevention,3.4417866064985185
PID_88,high,promotion,8.205424591902037
PID_89,low,promotion,4.428165112843195
PID_90,low,prevention,1.5984048117471317
PID_91,high,prevention,3.610112241549532
PID_92,low,promotion,3.3181493562806517
PID_93,low,promotion,3.330490100086597
PID_94,low,promotion,0.9553325204069671
PID_95,low,prevention,2.527104933443464
PID_96,high,promotion,7.460175535728094
PID_97,low,promotion,3.4721256071535107
PID_98,high,prevention,2.830567336763403
PID_99,low,promotion,4.7603768673663565
PID_100,high,prevention,3.0472598948719245
PID_101,high,prevention,3.2491709049241804
PID_102,high,promotion,6.554575675331518
PID_103,low,prevention,0.9452245497107141
PID_104,low,promotion,3.647727888155345
PID_105,low,promotion,2.303783682826245
PID_106,high,prevention,2.19834049156818
PID_107,high,promotion,7.725685015264251
PID_108,low,promotion,3.0501990043469283
PID_109,low,promotion,3.437148748040375
PID_110,low,prevention,3.985722994343207
PID_111,high,promotion,7.7707940468236005
PID_112,high,promotion,8.16306807913356
PID_113,low,promotion,2.917303638656934
PID_114,low,prevention,3.7902308994750307
PID_115,high,prevention,3.1484697465509117
PID_116,low,prevention,2.4475999653488536
PID_117,high,prevention,1.4505559964610102
PID_118,low,promotion,1.541938843261994
PID_119,low,prevention,3.5475597649004778
PID_120,low,prevention,1.4496786902399035
PID_121,high,prevention,1.7384351552206923
PID_122,high,promotion,8.158949781629245
PID_123,low,promotion,3.7270288971382373
PID_124,high,prevention,4.477265328330719
PID_125,high,prevention,4.007294655776348
PID_126,low,promotion,2.540995646742878
PID_127,high,promotion,7.5596212791172475
PID_128,high,promotion,8.839226889066214
PID_129,low,promotion,3.333529834867839
PID_130,low,promotion,3.1321674982879726
PID_131,low,prevention,1.4391999304525671
PID_132,low,promotion,3.7986914365310214
PID_133,low,prevention,1.6329494024482893
PID_134,low,prevention,0.38864387071920214
PID_135,low,prevention,4.16064663703375
PID_136,low,promotion,2.9571773084203445
PID_137,high,promotion,7.07202565911896
PID_138,low,promotion,0.9085357612253944
PID_139,low,prevention,0.9926846053738292
PID_140,low,promotion,2.255017818232644
PID_141,high,prevention,3.8677418401233314
PID_142,low,promotion,3.0700746995590564
PID_143,low,prevention,3.0968839682718725
PID_144,low,promotion,2.898574999147499
PID_145,high,prevention,3.8248665066342458
PID_146,low,promotion,3.9555627101440365
PID_147,high,promotion,6.255197895501304
PID_148,low,prevention,2.945835505188871
PID_149,low,prevention,2.803952440556197
PID_150,high,prevention,4.3863900279543895
PID_151,low,prevention,3.147578474709179
PID_152,low,prevention,1.9115550880763215
PID_153,low,promotion,2.465577642105417
PID_154,low,promotion,1.9150876891868824
PID_155,low,prevention,2.400062428987735
PID_156,high,promotion,8.452273718449442
PID_157,low,prevention,2.56855442176904
PID_158,high,promotion,6.875952892233936
PID_159,low,promotion,4.945392674136757
PID_160,high,promotion,9.23545171793098
PID_161,low,promotion,2.643360731274512
PID_162,low,promotion,2.4319584762344846
PID_163,high,promotion,4.988597958056582
PID_164,high,promotion,8.199808904998935
PID_165,low,promotion,3.501089673950122
PID_166,high,prevention,5.3602779436146895
PID_167,high,promotion,8.824580939785735
PID_168,low,promotion,2.8184825764950663
PID_169,high,promotion,7.392599222957422
PID_170,low,prevention,1.5911845543425964
PID_171,high,prevention,4.027403489661803
